calendar_year,p1_1stserve_pwon,p1_1stserve_success,p1_2ndserve_pwon,p1_aces,p1_breakpoints_won,p1_doublefaults,p1_max_games_row,p1_max_points_row,p1_servgames_won,p1_tiebreaks_won,p1_total_games_won,p1_total_points_won,p2_1stserve_pwon,p2_1stserve_success,p2_2ndserve_pwon,p2_aces,p2_breakpoints_won,p2_doublefaults,p2_max_games_row,p2_max_points_row,p2_servgames_won,p2_tiebreaks_won,p2_total_games_won,p2_total_points_won,player1_1st_set,player1_2nd_set,player1_3rd_set,player1_4th_set,player1_5th_set,player1_country,player1_name,player1_seed,player1_surname,player1_total_sets,player2_1st_set,player2_2nd_set,player2_3rd_set,player2_4th_set,player2_5th_set,player2_country,player2_name,player2_seed,player2_surname,player2_total_sets,tournament,tournament_phase
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,0,0,ARG,Marco,&nbsp,Trungelliti,,3,4,0,0,0,SVK,Lukas,&nbsp,Lacko,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,UZB,Denis,&nbsp,Istomin,,6,6,0,0,0,ITA,Lorenzo,Seeded:&nbsp29,Giustino,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,0,0,HRV,Borna,&nbsp,Gojo,,3,2,0,0,0,AUT,Sebastian,&nbsp,Ofner,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,3,6,4,0,0,RUS,Alexey,&nbsp,Vatutin,,6,4,6,0,0,CAN,Steven,&nbsp,Diez,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,7,6,0,0,0,CHE,Henri,Seeded:&nbsp15,Laaksonen,,5,3,0,0,0,DEU,Tobias,&nbsp,Kamke,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,0,0,AUS,Blake,&nbsp,Mott,,6,6,0,0,0,SWE,Elias,&nbsp,Ymer,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,4,4,0,0,ARG,Marco,&nbsp,Trungelliti,,4,6,6,0,0,DEU,Maximilian,&nbsp,Marterer,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,4,6,6,0,0,JPN,Taro,Seeded:&nbsp5,Daniel,,6,2,1,0,0,DOM,Roberto,&nbsp,Cid Subervi,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,5,0,0,0,ARG,Facundo,Seeded:&nbsp10,Bagnis,,7,7,0,0,0,IND,Ramkumar,&nbsp,Ramanathan,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,4,1,0,0,0,RUS,Andrey,&nbsp,Kuznetsov,,6,6,0,0,0,USA,Ulises,&nbsp,Blanch,,,Qualification
