calendar_year,p1_1stserve_pwon,p1_1stserve_success,p1_2ndserve_pwon,p1_aces,p1_breakpoints_won,p1_doublefaults,p1_max_games_row,p1_max_points_row,p1_servgames_won,p1_tiebreaks_won,p1_total_games_won,p1_total_points_won,p2_1stserve_pwon,p2_1stserve_success,p2_2ndserve_pwon,p2_aces,p2_breakpoints_won,p2_doublefaults,p2_max_games_row,p2_max_points_row,p2_servgames_won,p2_tiebreaks_won,p2_total_games_won,p2_total_points_won,player1_1st_set,player1_2nd_set,player1_3rd_set,player1_4th_set,player1_5th_set,player1_country,player1_name,player1_seed,player1_surname,player1_total_sets,player2_1st_set,player2_2nd_set,player2_3rd_set,player2_4th_set,player2_5th_set,player2_country,player2_name,player2_seed,player2_surname,player2_total_sets,tournament,tournament_phase
[2020],75,108,28,13,5,5,6,7,18,,23,147,66,87,24,9,5,5,3,7,19,,24,157,4,6,6,3,4,AUT,Dominic,5,Thiem,2,6,4,2,6,6,SRB,Novak,2,Djokovic,3,2565,Final
[2020],66,79,27,12,2,4,3,13,19,,23,147,85,114,12,25,2,5,3,6,19,,21,124,6,3,7,7,0,ESP,Rafael,1,Nadal,3,3,6,6,6,0,AUS,Nick,23,Kyrgios,1,2565,Round of 16
[2020],40,52,15,5,,5,1,5,12,,12,67,49,54,11,11,,3,3,7,15,,18,86,4,4,4,0,0,RUS,Andrey,17,Rublev,0,6,6,6,0,0,DEU,Alexander,7,Zverev,3,2565,Round of 16
[2020],77,97,24,27,4,5,5,5,20,,24,161,80,112,31,5,2,3,3,6,20,,23,160,3,6,6,6,3,USA,Tennys,,Sandgren,2,6,2,2,7,6,CHE,Roger,3,Federer,3,2565,Quarter-Final
[2020],,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,0,0,ITA,Paolo,12,Lorenzi,2,3,3,0,0,0,ESP,Adrian,,Menendez-Maceiras,0,2565,Qualification
[2020],,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,0,0,CZE,Lukas,,Rosol,2,4,3,0,0,0,FRA,Tristan,,Lamasine,0,2565,Qualification
[2020],,,,,,,,,,,,,,,,,,,,,,,,,7,6,0,0,0,ITA,Gianluca,13,Mager,2,5,4,0,0,0,AUS,Matthew,,Ebden,0,2565,Qualification
[2020],,,,,,,,,,,,,,,,,,,,,,,,,7,6,6,0,0,AUS,Max,,Purcell,2,6,7,4,0,0,ARG,Andrea,,Collarini,1,2565,Qualification
[2020],,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,0,0,AUS,Luke,,Saville,2,3,3,0,0,0,DNK,Mikael,,Torpegaard,0,2565,Qualification
[2020],,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,0,0,DEU,Tobias,,Kamke,0,6,7,0,0,0,SVK,Jozef,26,Kovalik,2,2565,Qualification
[2020],,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,0,0,SVK,Norbert,10,Gombos,2,4,1,0,0,0,ARG,Juan Pablo,,Ficovich,0,2565,Qualification
[2020],,,,,,,,,,,,,,,,,,,,,,,,,2,6,6,0,0,PRT,Frederico,,Ferreira Silva,2,6,4,4,0,0,KOR,Ji Sung,,Nam,1,2565,Qualification
[2020],,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,0,0,ITA,Roberto,,Marcora,2,3,2,0,0,0,SVK,Lukas,,Lacko,0,2565,Qualification
[2020],,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,0,0,ESP,Pedro,,Martinez,2,0,1,0,0,0,DEU,Julian,,Lenz,0,2565,Qualification
[2020],,,,,,,,,,,,,,,,,,,,,,,,,6,5,5,0,0,AUS,Tristan,,Schoolkate,1,2,7,7,0,0,PER,Juan Pablo,29,Varillas,2,2565,Qualification
