calendar_year,p1_1stserve_pwon,p1_1stserve_success,p1_2ndserve_pwon,p1_aces,p1_breakpoints_won,p1_doublefaults,p1_max_games_row,p1_max_points_row,p1_servgames_won,p1_tiebreaks_won,p1_total_games_won,p1_total_points_won,p2_1stserve_pwon,p2_1stserve_success,p2_2ndserve_pwon,p2_aces,p2_breakpoints_won,p2_doublefaults,p2_max_games_row,p2_max_points_row,p2_servgames_won,p2_tiebreaks_won,p2_total_games_won,p2_total_points_won,player1_1st_set,player1_2nd_set,player1_3rd_set,player1_4th_set,player1_5th_set,player1_country,player1_name,player1_seed,player1_surname,player1_total_sets,player2_1st_set,player2_2nd_set,player2_3rd_set,player2_4th_set,player2_5th_set,player2_country,player2_name,player2_seed,player2_surname,player2_total_sets,tournament,tournament_phase
[2021],40,50,17,6,1,3,3,7,11,,12,83,42,52,22,16,4,9,5,7,14,,18,99,4,4,4,0,0,SRB,Novak,1,Djokovic,0,6,6,6,0,0,RUS,Daniil,2,Medvedev,3,2589,Final
[2021],45,63,19,6,1,4,3,5,14,,15,91,54,61,19,11,4,3,5,8,17,,21,110,4,6,3,2,0,DEU,Oscar,,Otte,1,6,3,6,6,0,ITA,Matteo,6,Berrettini,3,2589,Round of 16
[2021],47,65,21,9,6,1,5,8,13,,19,116,48,78,11,4,3,1,3,5,10,,13,95,1,6,6,6,0,SRB,Novak,1,Djokovic,3,6,3,2,2,0,USA,Jenson,,Brooksby,1,2589,Round of 16
[2021],46,76,20,4,2,4,3,7,12,,14,92,54,65,19,13,7,1,8,5,16,,23,121,3,0,6,5,0,NLD,Botic,,Van de Zandschulp,1,6,6,4,7,0,RUS,Daniil,2,Medvedev,3,2589,Quarter-Final
[2021],60,82,3,3,1,8,2,5,11,,13,98,69,100,2,13,4,4,6,6,14,,19,110,7,0,6 ,0,0,ARG,Renzo,,Olivo,1,6 ,6,7,0,0,DEU,Oscar,23,Otte,2,2589,Qualification
[2021],42,53,11,15,6,3,6,9,11,,17,94,33,50,15,3,3,3,3,4,8,,11,76,7,4,6,0,0,FRA,Constant,,Lestienne,2,5,6,0,0,0,ITA,Andrea,,Pellegrino,1,2589,Qualification
[2021],45,59,,1,3,2,4,10,9,,13,70,26,43,,2,2,5,3,4,7,,9,52,7,6,0,0,0,ITA,Roberto,,Marcora,2,6 ,3,0,0,0,DOM,Roberto,,Cid Subervi,0,2589,Qualification
[2021],39,64,10,4,7,6,5,9,7,,14,94,39,73,4,3,7,3,8,9,7,,14,85,7,1,6,0,0,ESP,Bernabe,5,Zapata Miralles,2,5,6,3,0,0,USA,Stefan,,Kozlov,1,2589,Qualification
[2021],23,33,9,6,1,5,2,5,6,,7,49,33,39,9,9,3,1,5,6,9,,12,66,4,3,0,0,0,SRB,Danilo,,Petrovic,0,6,6,0,0,0,AUT,Jurij,19,Rodionov,2,2589,Qualification
[2021],44,66,1,4,2,5,3,6,9,,11,76,54,80,2,9,4,4,5,5,11,,15,85,4,6,1,0,0,AUS,Matthew,,Ebden,1,6,3,6,0,0,ITA,Federico,,Gaio,2,2589,Qualification
[2021],32,35,10,11,,2,5,6,10,,13,70,29,44,8,7,,5,1,4,7,,7,52,7,6,0,0,0,USA,Jeffrey John,,Wolf,2,5,2,0,0,0,UZB,Denis,,Istomin,0,2589,Qualification
[2020],55,90,22,2,8,4,6,8,14,,22,137,60,97,13,8,6,6,3,6,13,,19,132,3,6,6,1,6,ESP,Alejandro,,Davidovich Fokina,3,6,4,3,6,0,AUT,Dennis,,Novak,2,2589,Round of 128
[2020],47,75,16,4,5,3,5,7,12,,17,105,57,79,16,12,6,2,9,7,14,,20,119,6,6,4,1,0,TPE,Jason,,Jung,0,2,4,6,6,2,ARG,Federico,,Coria,0,2589,Round of 128
[2020],63,119,26,1,8,8,4,6,12,,20,164,66,107,30,11,11,5,6,9,15,,26,182,6,6,2,1,5,ARG,Diego,9,Schwartzman,2,3,4,6,6,7,GBR,Cameron,,Norrie,3,2589,Round of 128
[2020],56,73,18,6,3,5,2,5,12,,15,102,50,65,21,6,6,1,4,7,16,,22,118,3,4,6,2,0,ITA,Stefano,,Travaglia,1,6,6,4,6,0,AUS,Jordan,,Thompson,3,2589,Round of 128
[2020],49,77,20,7,2,2,5,6,13,,15,105,54,68,21,11,5,4,5,7,17,,22,118,1,6,4,4,0,SRB,Dusan,18,Lajovic,1,6,4,6,6,0,BLR,Egor,,Gerasimov,3,2589,Round of 128
[2020],34,54,10,,1,3,2,5,8,,9,76,46,61,20,,6,2,5,12,13,,19,105,5,3,1,0,0,ESP,Pablo,,Andujar,0,7,6,6,0,0,HRV,Borna,27,Coric,3,2589,Round of 128
[2020],33,51,22,4,7,1,4,8,12,,19,96,35,49,10,6,3,6,2,5,8,,11,73,6,6,7,0,0,ARG,Juan Ignacio,,Londero,3,3,3,5,0,0,RUS,Evgeny,,Donskoy,0,2589,Round of 128
[2020],53,65,20,13,4,3,3,7,18,,22,132,58,100,23,1,1,2,3,4,14,,15,107,6,4,6,6,0,CAN,Denis,12,Shapovalov,3,4,6,3,2,0,USA,Sebastian,,Korda,1,2589,Round of 128
